Rate,Methode,,TP,TN,FN,FP,Total,Accuracy,F1,TPR,PPV,TNR
100,entropyDip,blacknurse,0,0,10,0,10,0,0,0,#DIV/0!,#DIV/0!
100,entropyDip,xmas,1,0,12,0,13,0.076923077,0.142857143,0.076923077,1,#DIV/0!
100,entropyDip,udpflood,0,0,6,0,6,0,0,0,#DIV/0!,#DIV/0!
100,entropyDip,synflood,3,0,8,0,11,0.272727273,0.428571429,0.272727273,1,#DIV/0!
100,entropyRateDip,total,0,2698,170,0,2868,0.940725244,0,0,#DIV/0!,1
100,entropyRateDip,slowread,0,0,58,0,58,0,0,0,#DIV/0!,#DIV/0!
100,entropyRateDip,slowloris,0,0,35,0,35,0,0,0,#DIV/0!,#DIV/0!
100,entropyRateDip,ruby,0,0,25,0,25,0,0,0,#DIV/0!,#DIV/0!
100,entropyRateDip,pingflood,0,0,12,0,12,0,0,0,#DIV/0!,#DIV/0!
100,entropyRateDip,blacknurse,0,0,10,0,10,0,0,0,#DIV/0!,#DIV/0!
100,entropyRateDip,xmas,0,0,13,0,13,0,0,0,#DIV/0!,#DIV/0!
100,entropyRateDip,udpflood,0,0,6,0,6,0,0,0,#DIV/0!,#DIV/0!
100,entropyRateDip,synflood,0,0,11,0,11,0,0,0,#DIV/0!,#DIV/0!
100,entropyPacketsize,total,28,2126,142,572,2868,0.751046025,0.072727273,0.164705882,0.046666667,0.787991105
100,entropyPacketsize,slowread,9,0,49,0,58,0.155172414,0.268656716,0.155172414,1,#DIV/0!
100,entropyPacketsize,slowloris,6,0,29,0,35,0.171428571,0.292682927,0.171428571,1,#DIV/0!
100,entropyPacketsize,ruby,8,0,17,0,25,0.32,0.484848485,0.32,1,#DIV/0!
100,entropyPacketsize,pingflood,0,0,12,0,12,0,0,0,#DIV/0!,#DIV/0!
100,entropyPacketsize,blacknurse,1,0,9,0,10,0.1,0.181818182,0.1,1,#DIV/0!
100,entropyPacketsize,xmas,3,0,10,0,13,0.230769231,0.375,0.230769231,1,#DIV/0!
100,entropyPacketsize,udpflood,1,0,5,0,6,0.166666667,0.285714286,0.166666667,1,#DIV/0!
100,entropyPacketsize,synflood,0,0,11,0,11,0,0,0,#DIV/0!,#DIV/0!
100,entropyRatePacketsize,total,0,2698,170,0,2868,0.940725244,0,0,#DIV/0!,1
100,entropyRatePacketsize,slowread,0,0,58,0,58,0,0,0,#DIV/0!,#DIV/0!
100,entropyRatePacketsize,slowloris,0,0,35,0,35,0,0,0,#DIV/0!,#DIV/0!
100,entropyRatePacketsize,ruby,0,0,25,0,25,0,0,0,#DIV/0!,#DIV/0!
100,entropyRatePacketsize,pingflood,0,0,12,0,12,0,0,0,#DIV/0!,#DIV/0!
100,entropyRatePacketsize,blacknurse,0,0,10,0,10,0,0,0,#DIV/0!,#DIV/0!
100,entropyRatePacketsize,xmas,0,0,13,0,13,0,0,0,#DIV/0!,#DIV/0!
100,entropyRatePacketsize,udpflood,0,0,6,0,6,0,0,0,#DIV/0!,#DIV/0!
100,entropyRatePacketsize,synflood,0,0,11,0,11,0,0,0,#DIV/0!,#DIV/0!
100,entropyBiflowSyn,total,10,2565,160,133,2868,0.897838215,0.063897764,0.058823529,0.06993007,0.950704225
100,entropyBiflowSyn,slowread,2,0,56,0,58,0.034482759,0.066666667,0.034482759,1,#DIV/0!
100,entropyBiflowSyn,slowloris,0,0,35,0,35,0,0,0,#DIV/0!,#DIV/0!
100,entropyBiflowSyn,ruby,0,0,25,0,25,0,0,0,#DIV/0!,#DIV/0!
100,entropyBiflowSyn,pingflood,0,0,12,0,12,0,0,0,#DIV/0!,#DIV/0!
100,entropyBiflowSyn,blacknurse,0,0,10,0,10,0,0,0,#DIV/0!,#DIV/0!
100,entropyBiflowSyn,xmas,6,0,7,0,13,0.461538462,0.631578947,0.461538462,1,#DIV/0!
100,entropyBiflowSyn,udpflood,0,0,6,0,6,0,0,0,#DIV/0!,#DIV/0!
100,entropyBiflowSyn,synflood,2,0,9,0,11,0.181818182,0.307692308,0.181818182,1,#DIV/0!
